Cluster_ID,N_States,N_Observations,P(-1),P(0),P(+1),Direction,Entropy,Gini,Classification_Error,Confidence
1,2,27,0.48148148148148145,0.5185185185185185,0.0,-0.48148148148148145,0.6924611526112308,0.4993141289437586,0.4814814814814815,0.5185185185185185
2,2,32,0.53125,0.375,0.09375,-0.4375,0.9257564180367234,0.568359375,0.46875,0.53125
3,6,123,0.5203252032520326,0.2845528455284553,0.1951219512195122,-0.3252032520325204,1.0164201975228275,0.6102187851146804,0.4796747967479674,0.5203252032520326
4,1,19,0.42105263157894735,0.42105263157894735,0.15789473684210525,-0.2631578947368421,1.0198652142779268,0.6204986149584488,0.5789473684210527,0.42105263157894735
5,11,196,0.4489795918367347,0.35714285714285715,0.19387755102040816,-0.25510204081632654,1.0453157781736777,0.6332778009162849,0.5510204081632653,0.4489795918367347
6,4,95,0.4,0.4105263157894737,0.18947368421052632,-0.2105263157894737,1.0472045767501186,0.6355678670360111,0.5894736842105264,0.4105263157894737
7,4,78,0.4358974358974359,0.3333333333333333,0.23076923076923078,-0.20512820512820512,1.0665362694121658,0.6456278763971072,0.5641025641025641,0.4358974358974359
8,1,20,0.5,0.2,0.3,-0.2,1.0296530140645705,0.62,0.5,0.5
9,1,15,0.4,0.4,0.2,-0.2,1.054920167986141,0.6399999999999999,0.6,0.4
10,15,268,0.30597014925373134,0.5634328358208955,0.13059701492537312,-0.17537313432835822,0.9514443842912572,0.571870126977055,0.43656716417910446,0.5634328358208955
11,2,33,0.48484848484848486,0.18181818181818182,0.3333333333333333,-0.15151515151515155,1.0271492471638437,0.620752984389348,0.5151515151515151,0.48484848484848486
12,9,200,0.325,0.48,0.195,-0.13,1.0363598509321093,0.62595,0.52,0.48
13,10,244,0.4057377049180328,0.3155737704918033,0.2786885245901639,-0.12704918032786888,1.0860354113668327,0.6581228164471916,0.5942622950819672,0.4057377049180328
14,9,193,0.35233160621761656,0.41968911917098445,0.22797927461139897,-0.12435233160621759,1.0690049589937618,0.6477489328572579,0.5803108808290156,0.41968911917098445
15,1,10,0.5,0.1,0.4,-0.09999999999999998,0.9433483923290362,0.58,0.5,0.5
16,2,43,0.3953488372093023,0.3023255813953488,0.3023255813953488,-0.09302325581395349,1.0901929030666844,0.6608977825851812,0.6046511627906976,0.3953488372093023
17,2,33,0.36363636363636365,0.36363636363636365,0.2727272727272727,-0.09090909090909094,1.090059658710781,0.6611570247933884,0.6363636363636364,0.36363636363636365
18,1,25,0.36,0.36,0.28,-0.07999999999999996,1.092019287450632,0.6624,0.64,0.36
19,4,70,0.38571428571428573,0.3,0.3142857142857143,-0.07142857142857145,1.0924166627894742,0.6624489795918367,0.6142857142857143,0.38571428571428573
20,2,34,0.38235294117647056,0.29411764705882354,0.3235294117647059,-0.05882352941176466,1.0926240370360847,0.6626297577854672,0.6176470588235294,0.38235294117647056
21,3,47,0.3404255319148936,0.3617021276595745,0.2978723404255319,-0.04255319148936171,1.09540613321206,0.6645540968764146,0.6382978723404256,0.3617021276595745
22,1,26,0.34615384615384615,0.34615384615384615,0.3076923076923077,-0.038461538461538436,1.0971128947333777,0.665680473372781,0.6538461538461539,0.34615384615384615
23,1,37,0.3783783783783784,0.2702702702702703,0.35135135135135137,-0.02702702702702703,1.0888369615211388,0.660336011687363,0.6216216216216216,0.3783783783783784
24,1,14,0.35714285714285715,0.2857142857142857,0.35714285714285715,0.0,1.0933747175566437,0.6632653061224489,0.6428571428571428,0.35714285714285715
25,1,17,0.35294117647058826,0.29411764705882354,0.35294117647058826,0.0,1.0950778621204975,0.6643598615916955,0.6470588235294117,0.35294117647058826
26,1,15,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0986122886681067,0.6666666666666667,0.6666666666666667,0.3333333333333333
